WHITE,,,,,,,,,,,,,
initial,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w,e2-e4,0.5,d2-d4,0.35,g1-f3,0.1,c2-c4,0.05,,,,
,,,,,,,,,,,,,
e4-e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w,g1-f3,0.7,f2-f4,0.1,f1-c4,0.1,d2-d4,0.1,,,,
KG,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w,g1-f3,0.8,f1-c4,0.2,,,,,,,,
Petroff,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w,f3-e5,0.7,b1-c3,0.1,f1-c4,0.1,d2-d4,0.1,,,,
Petroff,rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w,e5-f3,0.9,e5-f7,0.1,,,,,,,,
Petroff,rnbqkb1r/ppp2ppp/3p4/8/4n3/5N2/PPPP1PPP/RNBQKB1R w,b1-c3,0.4,d2-d4,0.5,d1-e2,0.1,,,,,,
Open game,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w,f1-c4,0.3,f1-b5,0.3,d2-d4,0.2,b1-c3,0.2,,,,
Scotch,r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w,f3-d4,0.8,f1-c4,0.2,,,,,,,,
4K,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w,f1-b5,0.5,d2-d4,0.3,f1-c4,0.2,,,,,,
Italian 2K,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w,f3-g5,0.4,d2-d3,0.3,d2-d4,0.3,,,,,,
Italian 2K,r1bqkb1r/ppp2ppp/2n2n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w,e4-d5,1,,,,,,,,,,
Giuocco piano,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w,e1-g1,0.5,c2-c3,0.5,,,,,,,,
Giuocco piano,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w,d2-d3,0.5,d2-d4,0.5,,,,,,,,
Berlin,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w,e1-g1,0.7,d2-d3,0.3,,,,,,,,
Berlin,r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w,d2-d4,0.7,f1-e1,0.3,,,,,,,,
Ruy,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w,b5-a4,0.8,b5-c6,0.2,,,,,,,,
Ruy,r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w,e1-g1,0.8,d2-d3,0.2,,,,,,,,
Ruy,r1bqkbnr/1pp2ppp/p1np4/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w,e1-g1,0.6,c2-c3,0.4,,,,,,,,
Ruy,r1bqk1nr/1ppp1ppp/p1n5/2b1p3/B3P3/5N2/PPPP1PPP/RNBQK2R w,e1-g1,0.6,c2-c3,0.4,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sicilian,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w,g1-f3,0.5,b1-c3,0.2,c2-c3,0.1,d2-d4,0.1,f2-f4,0.1,,
open d6,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w,d2-d4,0.8,c2-c3,0.1,f1-b5,0.1,,,,,,
,rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w,f3-d4,0.9,d1-d4,0.1,,,,,,,,
,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w,b1-c3,1,,,,,,,,,,
open Nc6,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w,d2-d4,0.6,b1-c3,0.1,f1-b5,0.3,,,,,,
,r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w,f3-d4,1,,,,,,,,,,
,r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w,b1-c3,1,,,,,,,,,,
